property_name,square_feet,transaction,status,furnishing,facing,description,price_per_sqft,price_lakhs,floor_number,total_floors,area_name,property_type
2 BHK Apartment for Sale in Dindoli Surat,644.0,New Property,Poss. by Oct '24,Unfurnished,West,"Luxury project with basement parking, Solar rooftop, Gym, Build with advanced machinery and standard materials that last long. Best project for under construction scheme for a happy family life.Read more",2891.0,33.8,5.0,10.0,Carpet,Area
2 BHK Apartment for Sale in Althan Surat,1278.0,New Property,Poss. by Jan '26,Unfurnished,Unknown,2 And 3 BHK Luxurious Flat for Sell In New Althan Area With All Aminities .Read more,3551.0,45.4,6.0,14.0,Super,Area
2 BHK Apartment for Sale in Pal Gam Surat,1173.0,Resale,Ready to Move,Semi-Furnished,East,"This affordable 2 BHK flat is situated along a 200foot road, ensuring easy access and connectivity. Enjoy the convenience of a prime location at a budgetfriendly price. Additionally, it is ready to move in, offering immediate occupancy for your convenience. With a towering 19floor height, it provides impressive views and a sense of elevation.Read more",3800.0,44.6,5.0,13.0,Super,Area
2 BHK Apartment for Sale in Jahangirabad Surat,700.0,New Property,Ready to Move,Unfurnished,East,2 BHK Flat For sell IN Jahangirabad Prime Location,3966.0,47.0,6.0,14.0,Carpet,Area
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",1250.0,Orchid Fantasia,New Property,2,Unknown,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1250.0  Sq-ft. This property belongs to ""Orchid Fantasia"" .Read more",3600.0,45.0,,,Super,Area
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",1265.0,Unfurnished,Poss. by Dec '25,Anand Aspire,Unknown,"Multistorey Apartment for Sale in Jahangirabad, Surat. Covered area is 1265.0  Sq-ft. This property belongs to ""Anand Aspire"" .Read more",3411.0,43.2,,,Super,Area
3 BHK Villa for Sale in Dindoli Surat,1404.0,Unfurnished,Poss. by Jun '24,East,Unknown,contraction,,42.1,,,Carpet,Area
Office Space for Sale in Vesu Surat,700.0,New Property,Poss. by Sep '25,1,Unknown,"best commercial for business ,investors ,businesses man",3392.0,44.1,7.0,10.0,Carpet,Area
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",1180.0,Orchid Gardenia,New Property,2,Unknown,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1180.0  Sq-ft. This property belongs to ""Orchid Gardenia"" .Read more",3751.0,44.3,,,Super,Area
2 BHK Apartment for Sale in Palanpur Surat,720.0,New Property,Poss. by Dec '25,Unfurnished,East,"Irrespective of the business branch, the our group believes in, and follows a singular philosophicalRead more",3200.0,40.0,3.0,14.0,Carpet,Area
2 BHK Apartment for Sale in Jahangirabad Surat,748.0,New Property,Poss. by Dec '25,Unfurnished,East,next to Canezaa theater near new d mart location a very anchor location and full of amenities with very simple payment conditionsRead more,3235.0,44.0,6.0,13.0,Carpet,Area
1 BHK  House for Sale in Kim Surat,480.0,Resale,Ready to Move,Unfurnished,East,"1 BHK, Residential House is available for Sale in Kim, Surat for 12.50 Lac(s)Read more",2315.0,12.5,1.0,1.0,Carpet,Area
